
Count: 14  Balance: 100.007  Reward: -1420.993  Higest ballance 100.02300000000001  Max_lose: -0.013999999999981583  Max_profit: 0.014000000000010004  Number of losses: 3  Number of wins: 7
Count: 15  Balance: 100.05700000000004  Reward: -1413.9430000000002  Higest ballance 101.007  Max_lose: -0.9939999999999856  Max_profit: 1.007000000000005  Number of losses: 4  Number of wins: 10
Count: 16  Balance: 101.01899999999999  Reward: -1425.981  Higest ballance 101.01899999999999  Max_lose: -0.0030000000000001137  Max_profit: 0.9969999999999999  Number of losses: 1  Number of wins: 5
Count: 17  Balance: 82.98099999999998  Reward: -1422.0189999999998  Higest ballance 100.01  Max_lose: -16.994  Max_profit: 0.014999999999986358  Number of losses: 5  Number of wins: 10
Count: 18  Balance: 101.06099999999996  Reward: -1408.9359999999997  Higest ballance 101.06799999999997  Max_lose: -0.01100000000000989  Max_profit: 1.01400000000001  Number of losses: 4  Number of wins: 11
Count: 19  Balance: 99.986  Reward: -1419.014  Higest ballance 100.01500000000001  Max_lose: -0.01999999999999602  Max_profit: 0.008000000000009777  Number of losses: 4  Number of wins: 6
Count: 20  Balance: 99.011  Reward: -1420.98  Higest ballance 100  Max_lose: -1.0010000000000048  Max_profit: 0.01999999999999602  Number of losses: 3  Number of wins: 5
Count: 21  Balance: 101.98100000000004  Reward: -1413.0159999999998  Higest ballance 102.00700000000002  Max_lose: -0.021000000000000796  Max_profit: 1.0020000000000095  Number of losses: 3  Number of wins: 8
Count: 22  Balance: 102.00999999999998  Reward: -1410.0079999999998  Higest ballance 102.00999999999998  Max_lose: -0.006000000000000227  Max_profit: 2.0009999999999906  Number of losses: 3  Number of wins: 9
Count: 23  Balance: 100.99699999999999  Reward: -1423.998  Higest ballance 100.99699999999999  Max_lose: -0.02600000000001046  Max_profit: 0.9989999999999952  Number of losses: 1  Number of wins: 5
Count: 24  Balance: 99.999  Reward: -1436.001  Higest ballance 100  Max_lose: -0.0010000000000047748  Max_profit: 0  Number of losses: 1  Number of wins: 1
Count: 25  Balance: 101.01099999999998  Reward: -1421.989  Higest ballance 101.02099999999999  Max_lose: -0.019000000000019668  Max_profit: 1.0019999999999953  Number of losses: 3  Number of wins: 6
Count: 26  Balance: 75.94600000000003  Reward: -1440.054  Higest ballance 100.00500000000001  Max_lose: -24.01299999999999  Max_profit: 0.01100000000000989  Number of losses: 4  Number of wins: 6
Count: 27  Balance: 101.002  Reward: -1417.998  Higest ballance 101.02099999999997  Max_lose: -0.014999999999986358  Max_profit: 1.0189999999999912  Number of losses: 3  Number of wins: 7
